,Address,Price,Beds,Baths,Location,All_Text
3147,4820 18th Sdrd,"$4,488,000 CAD",4 beds,5 baths,"


Schomberg
18th Sdrd


(  )
- BTC

","

4820 18th Sdrd
$4,488,000 CAD
5 baths
4 beds




Schomberg
18th Sdrd


(  )
- BTC


Nestled In The Prestigious King Countryside Is This Spectacular Private, Gated Executive Bungaloft On 8.91Acres. Ascend The Tree-Lined Paved Drive To The Approx 4,200Sqft Residence &4,150Sqft 2-Stry Workshop Complete With 4, 10Ft Garage Doors&14Ft Ceilings. Exuding...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3148,101 Locke St 409,"$639,900 CAD",2 beds,2 baths,"

Hamilton
Kirkendall
Locke St


(  )
- BTC

","

101 Locke St 409
$639,900 CAD
2 baths
2 beds



Hamilton
Kirkendall
Locke St


(  )
- BTC


Enjoy This Beautiful Building Right In The Heart Of The Trendy Locke St. Retail District, Featuring Independent Restaurants, Jewelers, Retail Shops & Spa/Beauty Shops. Large 885 Sq. Ft. Unit Featuring 2 Bedrooms & 2 Full Baths, In-Suite Laundry, Private Parking...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3149,55 Duke St 417,"$484,900 CAD",1+1 beds,1 baths,"

Kitchener


(  )
- BTC

","

55 Duke St 417
$484,900 CAD
1 baths
1+1 beds



Kitchener


(  )
- BTC


Assignment For Sale At Young Condos, Kitchener! 1 Bedroom + 1 Den (Can Be Used As 2nd Bedroom). Perfectly Located In Kitchener's Downtown Core, You Are Steps Away From Lrt, City Hall, Google And Kw's Tech Hub, From Shopping, Restaurants And Victoria Park. Spacious Open...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3150,1441 Elgin St 208,"$1,149,000 CAD",1+1 beds,2 baths,"

Burlington
Brant
Elgin St


(  )
- BTC

","

1441 Elgin St 208
$1,149,000 CAD
2 baths
1+1 beds



Burlington
Brant
Elgin St


(  )
- BTC


Welcome Home To This Gorgeous Condo In The Highly Desirable Saxony Boutique Style Building Only 6 Storeys! Almost New And Beautifully Finished With All The Bells And Whistles! Fantastic Location In Downtown Burlington And Minutes To The Lake, Waterfront Park, Fine...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3151,21 Park St E St,"$749,000 CAD",1+1 beds,2 baths,"


Port Credit
Park St E St


(  )
- BTC

","

21 Park St E St
$749,000 CAD
2 baths
1+1 beds




Port Credit
Park St E St


(  )
- BTC


Brand New Tanu Condos: State Of Art Facilty. This One Plus Den Is Loaded With Luxury Upgrades. Neutral Kitchen With High End Built In Appliances, Custom Back-Splash, High End Laminate Neutral Grey Flooring And Floor To Ceiling Windows: 24 Hour Concierge, Valet Parking...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3152,251 Manitoba St 2704,"$940,000 CAD",2+1 beds,2 baths,"


Mimico
Manitoba St


(  )
- BTC

","

251 Manitoba St 2704
$940,000 CAD
2 baths
2+1 beds




Mimico
Manitoba St


(  )
- BTC


Brand New Phoenix Condo Designed By Empire Communities In The Heart Of Mimico. Short Walk To Lakefront Parks & Restaurants, Quick Access To Hi-Way's, Spacious ""Lauren Model"" Approx. 910 Sq. Ft, 2 Bed + Den, 2 Bath, Bright Sunny Southern Exposure With Park Views, Large...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3153,3700 Kaneff Cres 2004,"$699,999 CAD",2 beds,2 baths,"


Mississauga Valleys
Kaneff Cres


(  )
- BTC

","

3700 Kaneff Cres 2004
$699,999 CAD
2 baths
2 beds




Mississauga Valleys
Kaneff Cres


(  )
- BTC


The Heart Of Square One, Steps Away Form Buses And Further Lrt, Close To Schools, Parks, Community Centre, Easy Access To Hwys, Freshly Painted Bright And Clean Corner Unit. Well Maintained Building With 24 Hours Concierge, Great Amenities Including Indoor Pool, Sauna...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3154,1 Maison Parc Crt 217,"$652,000 CAD",2 beds,2 baths,"

Vaughan
Lakeview Estates
Maison Parc Crt


(  )
- BTC

","

1 Maison Parc Crt 217
$652,000 CAD
2 baths
2 beds



Vaughan
Lakeview Estates
Maison Parc Crt


(  )
- BTC


Gorgeous 2 Bdrm 2 Full Bath With Open Concept. Absolutely Spectacular! Upgraded, Well-Kept Unit At The Luxurious Chateau Ridge Condominiums. Immaculate Condition, Large Windows, Granite Counter, Ceramic Backsplash, Beautiful Balcony. High Demand Area, Steps To Public...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3155,28 Tuscany Grande Dr,"$899,975 CAD",1+1 beds,3 baths,"

New Tecumseth
Alliston
Tuscany Grande Dr


(  )
- BTC

","

28 Tuscany Grande Dr
$899,975 CAD
3 baths
1+1 beds



New Tecumseth
Alliston
Tuscany Grande Dr


(  )
- BTC


Beautiful 1+1 Bedroom Bungalow ""Cezanne Model"" In Award Winning Adult Lifestyle Community Briar Hill. Enjoy Incredible Views Throughout This Bright Home. On The Main Floor Enjoy An Open Concept Layout, Large Eat In Kitchen, Living & Dining Room, Private Terrace & A...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3156,50 Lakebreeze Dr 420,"$629,990 CAD",1+1 beds,2 baths,"

Clarington
Newcastle
Lakebreeze Dr


(  )
- BTC

","

50 Lakebreeze Dr 420
$629,990 CAD
2 baths
1+1 beds



Clarington
Newcastle
Lakebreeze Dr


(  )
- BTC


Live By The Lake In Quaint Port Of Newcastle! Welcome To Your Beautiful Lakeside Harbourview Grand Condo Built By Kaitlin, Offering 689 Sq Ft Of Luxury Living!1 Bed + Den! 2 Full Bath! Premium Vinyl Flr! Walk Out To Open Balcony! Maint.Fee Includes Membership To The...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3157,50 Lakebreeze Dr 127,"$579,990 CAD",1+1 beds,1 baths,"






(  )
- BTC

","

50 Lakebreeze Dr 127
$579,990 CAD
1 baths
1+1 beds








(  )
- BTC


Live By The Lake In Quaint Port Of Newcastle! Welcome To Your Beautiful Lakeside Harbourview Grand Condo Built By Kaitlin, Offering 689 Sq Ft Of Luxury Living!1 Bed + Den! 1 Full Bath! Premium Vinyl Flr! Walk Out To Open Balcony! Maint.Fee Includes Membership To The...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3158,1 Bloor St 3206,"$1,028,000 CAD",1+1 beds,1 baths,"

Toronto
Church-Yonge Corridor
Bloor St


(  )
- BTC

","

1 Bloor St 3206
$1,028,000 CAD
1 baths
1+1 beds



Toronto
Church-Yonge Corridor
Bloor St


(  )
- BTC


Welcome To The Most Iconic Building In Downtown Toronto. One Bloor St! One Plus Media With Unobstructed South Exposure, Overlooking City With Lake View. Luxury Finishes W/ Engineering Hardwood Floors Throughout, European-Style Appliances, Large Balcony, 9 Ft Ceiling...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3159,65 St Mary St 4201,"$2,350,000 CAD",2+1 beds,2 baths,"


Bay Street Corridor
St Mary St


(  )
- BTC

","

65 St Mary St 4201
$2,350,000 CAD
2 baths
2+1 beds




Bay Street Corridor
St Mary St


(  )
- BTC


This Stunning S/E Corner Suite Features 2 Bedrooms Plus A Large Den Can Be 3rd Bedroom. For A Total Of 1477 Sq. Ft W/ 10' Ceilings. Southeast City And Lake Views, Massive Wrap Around Balconies, Floor To Ceiling Windows, Excellent Location At Bay And Bloor, Steps To U...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3160,225 Davenport Rd 212,"$939,000 CAD",2+1 beds,2 baths,"


Annex
Davenport Rd


(  )
- BTC

","

225 Davenport Rd 212
$939,000 CAD
2 baths
2+1 beds




Annex
Davenport Rd


(  )
- BTC


Yorkville Two Bedroom Plus Den, 2 Bath, 1150 Sq. Ft. In Prestigious ""Dakota"" Low Rise Overlooking Beautiful Gardens. Fridge, Stove, Range Hood, Dishwasher, Washer And Dryer, All Electric Light Fixtures, All Window Coverings


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3161,736 Spadina Ave Lph02,"$2,880,000 CAD",3+1 beds,3 baths,"


University
Spadina Ave


(  )
- BTC

","

736 Spadina Ave Lph02
$2,880,000 CAD
3 baths
3+1 beds




University
Spadina Ave


(  )
- BTC


Fabulous Custom-Designed Lower Penthouse Suite At Mosaic. 3 Bedrooms + Separate Formal Dining Room (3rd Bedroom Currently Used As Office). Hardwood Floors T/O, Freshly Painted, Primary Bedroom Has 2 Walk-In Closets W/Custom Organizers & 7-Pc Ensuite Bath. Custom B/I...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3162,75 The Esplanade St 2503,"$1,759,000 CAD",3 beds,2 baths,"


Waterfront Communities C8
The Esplanade St


(  )
- BTC

","

75 The Esplanade St 2503
$1,759,000 CAD
2 baths
3 beds




Waterfront Communities C8
The Esplanade St


(  )
- BTC


Oasis In The Heart Of The City - Brand New - Never Lived In - 75 On The Esplanade. 1283 Sq Ft Corner Unit With West And South Views With 2 Outdoor Spaces (204Sf & 63Sf) 3 Bedroom, 2 Full Bath, 2 Parking And 1 Locker. Sherbourne Floor Plan Features Expansive Windows And...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3163,38 Forest Manor Rd 519,"$779,900 CAD",2 beds,2 baths,"


Henry Farm
Forest Manor Rd


(  )
- BTC

","

38 Forest Manor Rd 519
$779,900 CAD
2 baths
2 beds




Henry Farm
Forest Manor Rd


(  )
- BTC


 


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3164,35 Hollywood Ave Ph 119,"$1,249,800 CAD",3 beds,2 baths,"


Willowdale East
Hollywood Ave


(  )
- BTC

","

35 Hollywood Ave Ph 119
$1,249,800 CAD
2 baths
3 beds




Willowdale East
Hollywood Ave


(  )
- BTC


Unique, Stunning Penthouse,1286 Sqft +Over 600 Sqft Huge Terrace+2 Balconies! Corner Suite With Amazing Views. 3 Spacious Bedrooms, 2 Full Pieces Bathrooms. Dark Stained Engineered Hardwood Floors, Large Windows From Floor To Ceiling Throughout. Master Room With...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3165,1001 Bay St Ph02,"$1,399,900 CAD",2+1 beds,3 baths,"



Bay St


(  )
- BTC

","

1001 Bay St Ph02
$1,399,900 CAD
3 baths
2+1 beds





Bay St


(  )
- BTC


Amazing One Of The Unique 2 Storey Penthouse The City Has To Offer! Over 1400 Sq Ft. 2 Floors Floors. Open Concept, Fantastic Layouts Unobstructed Views Of The City With Floor-To-Ceiling Windows, 2Bdrms Plus Den, 2 1/2Bath, Skylight, One Parking, Granite Countertop...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3166,38 Forest Manor Rd 501,"$769,888 CAD",2 beds,2 baths,"






(  )
- BTC

","

38 Forest Manor Rd 501
$769,888 CAD
2 baths
2 beds








(  )
- BTC


 


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3167,7 Concorde Pl 1310,"$499,900 CAD",1 beds,1 baths,"


Banbury-Don Mills
Concorde Pl


(  )
- BTC

","

7 Concorde Pl 1310
$499,900 CAD
1 baths
1 beds




Banbury-Don Mills
Concorde Pl


(  )
- BTC


Large One Bedroom Condo. Spacious Living & Dining Overlooking Ravine. Floor To Ceiling Window W Lots Of Natural Light. Spectacular City And Scenic Treetop Views. Beautiful Work Space From Home. Step To Ttc, Subway & Downtown. Easy Access To Dvp And Future Eglinton Lrt...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3168,238 Doris Ave 505,"$859,800 CAD",2 beds,2 baths,"



Doris Ave


(  )
- BTC

","

238 Doris Ave 505
$859,800 CAD
2 baths
2 beds





Doris Ave


(  )
- BTC


Bright & Clean South-East Corner Unit - Best Layout Over 1000 Sq Ft. Large Size Master Bedroom With 4Pc Ensuite - Marble Floor In Baths, Kit & Foyer, 2 Walkouts To Balcony . Panoramic South/East View Large Balcony. Walk To Subway, Shopping Mall, Theatre, Restaurant...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3169,148 Taylor Rd,"$1,450,000 CAD",4+1 beds,2 baths,"

Kawartha Lakes
Rural Dalton
Taylor Rd


(  )
- BTC

","

148 Taylor Rd
$1,450,000 CAD
2 baths
4+1 beds



Kawartha Lakes
Rural Dalton
Taylor Rd


(  )
- BTC


Approx. 120+Acres & 2500 + Ft. On Head River .Swim, Skate, Hunt And Fish. About 6000Sf Barns . 14 Greenhouses .  Power Services Are 240V,600A. 3 Concrete Silos.Bedroom On Main Floor Could Be A Large Office,Attic Has Windows & Flooring With Lots Of Storage & Partially...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3170,87 Westfield Dr,"$1,499,000 CAD",4+1 beds,4 baths,"

Whitby
Rural Whitby
Westfield Dr


(  )
- BTC

","

87 Westfield Dr
$1,499,000 CAD
4 baths
4+1 beds



Whitby
Rural Whitby
Westfield Dr


(  )
- BTC


Presenting Yet Another Phenomenal Detached Home With A Practical Layout Offering 4 Spacious Bedrooms W/Master 5 Pc Oasis En- Suite Bath + 2 Full Baths On 2nd Flr. Enjoy Over 2000 Sqft. Of Living Space Ideally Located In A Desirable Whitby Community. Fresh Neutral...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3171,123 Burbank Dr,"$3,288,000 CAD",2+2 beds,3 baths,"


Bayview Village
Burbank Dr


(  )
- BTC

","

123 Burbank Dr
$3,288,000 CAD
3 baths
2+2 beds




Bayview Village
Burbank Dr


(  )
- BTC


Prestige Ravine Lot!!! W/Prof Finished Guest Suite Basement Apartment In The Heart Of Gorgeous Bayview Village!!Huge Table Land W/Magnificent Cottage Like Forest View!!!Cocinera Delicate Kitchen!!Minutes Walk To Bessarion Station. Minutes To Hywy 400 Series.Bayview...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3172,393 Dudley Ave,"$1,888,888 CAD",3 beds,4 baths,"



Dudley Ave


(  )
- BTC

","

393 Dudley Ave
$1,888,888 CAD
4 baths
3 beds





Dudley Ave


(  )
- BTC


Stunning 2572 Sq.Ft Townhouse With Elevator Access For All Floors And Finished Basement.Custom Cherry Wood Kitchen With Granite Countertops.High End Appliances, W/O To Deck, 10.5Ft Ceiling On Main Fl , Cornice Mouldings, Solid Oak Staircase, Custom Blinds/Shutters...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3173,6434 Bank St,"$499,000 CAD",4 beds,2 baths,"

Ottawa
Osgoode
Bank St


(  )
- BTC

","

6434 Bank St
$499,000 CAD
2 baths
4 beds



Ottawa
Osgoode
Bank St


(  )
- BTC


Great Opportunity For Investor And Custom Built Home, Excellent Location In Area Of Greely Metcalf.  4  Bedrooms   ,  2 Washrooms. Lot Size 90 X 210 .  Furnance And Central Ac 2 Year Old. .Roof 2 Years Old. House Need Renovation. .  House Sale As Is. Looking For...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3174,480 Chatham St,"$1,299,000 CAD",7 beds,4 baths,"

Brantford


(  )
- BTC

","

480 Chatham St
$1,299,000 CAD
4 baths
7 beds



Brantford


(  )
- BTC


Welcome To The 'Elms' A Rare Stately Victorian Mansion Circa 1856. This Magnificent Home Has Timeless Luxurious Original Details Thru-Out ,Century Wood Work , Plank Flooring, Victorian Era Wall Paper, 5 Fireplaces (Can Be Converted To Gas), Vaulted Ceilings, True...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3175,5 Michael Power Pl 505,"$549,000 CAD",1 beds,1 baths,"

Toronto
Islington-City Centre West
Michael Power Pl


(  )
- BTC

","

5 Michael Power Pl 505
$549,000 CAD
1 baths
1 beds



Toronto
Islington-City Centre West
Michael Power Pl


(  )
- BTC


Exceptional Location And Excellent Value! Easy Commute To Downtown.2 Subway Stations In Walking Distance, Ttc & Miway Buses, Go Station, Various Restaurants And Shops, Banks, Parks And More! Very Clean And Bright 1Br Apartment With Spacious Terrace Balcony, That Has...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3176,170 Fort York Blvd 1612,"$635,000 CAD",1+1 beds,1 baths,"


Waterfront Communities C1
Fort York Blvd


(  )
- BTC

","

170 Fort York Blvd 1612
$635,000 CAD
1 baths
1+1 beds




Waterfront Communities C1
Fort York Blvd


(  )
- BTC


Library District Condo In Downtown Toronto. Bright And Spacious One Bed + Den With An Open Concept Layout. Stylish Kitchen With Granite Counter And Backsplash. Floor To Ceiling Windows. Minutes On Foot To Lake Ontario, Entertainment District & Downtown Core. Authors...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3177,199 Richmond St 312,"$799,000 CAD",1+1 beds,1 baths,"



Richmond St


(  )
- BTC

","

199 Richmond St 312
$799,000 CAD
1 baths
1+1 beds





Richmond St


(  )
- BTC


Studio On Richmond. Live In The Heart Of Toronto In The Financial And Cultural District. Walking Distance To All Major Amenities Like Hospitals, Museums, Downtown Landmarks And Universities. Steps Away From Osgoode Subway Station. The 137 Sqft Balcony Provides Ample...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3178,909 Bay St 1109,"$1,550,000 CAD",3 beds,2 baths,"


Bay Street Corridor
Bay St


(  )
- BTC

","

909 Bay St 1109
$1,550,000 CAD
2 baths
3 beds




Bay Street Corridor
Bay St


(  )
- BTC


Rarely Found, Sprawling 1,466 Sf, 3 Bedroom Corner Suite On Bay St! * Huge Windows, Walk-Out To Balcony & Open Concept Layout = Bright Suite, Great For A Family Or Entertaining * Hardwood Flrs, 2 Side-By-Side Parking, 1 Locker * Elegant, Boutique Building * Close To...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3179,384 Grass Lake Rd,"$279,900 CAD",0 beds,0 baths,"

Kearney


(  )
- BTC

","

384 Grass Lake Rd
$279,900 CAD
0 baths
0 beds



Kearney


(  )
- BTC


Looking To Invest In Your Future? 20Min N Of Huntsville Is Kearney, Near Algonquin Park. Kearney, Is Where You'll Find This Approx 4Acre Treed Lot W/ 200Ft Of Waterfront Along Mcdonald's Creek. Listen To The Water Running In Your Backyard, Walk To Loon Lake A Desirable...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3180,2279 County Rd 7,"$999,000 CAD",0 beds,0 baths,"

Prince Edward County
Picton
County Rd


(  )
- BTC

","

2279 County Rd 7
$999,000 CAD
0 baths
0 beds



Prince Edward County
Picton
County Rd


(  )
- BTC


Welcome Home To Almost 12 Acres Of Prime Waterfront Land In Prince Edward County, Overlooking The Bay Of Quinte, With Over 200 Feet Of Private Waterfront. Ideally Located Atop The Escarpment With Panoramic Lake Views, This Land Is Currently Used As Farm Land And Zoned...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3181,5377 Menzie St,"$599,000 CAD",3+1 beds,2 baths,"

Niagara Falls


(  )
- BTC

","

5377 Menzie St
$599,000 CAD
2 baths
3+1 beds



Niagara Falls


(  )
- BTC


Location!Location!Location!!Great Opportunity To Take Action & Then Reap The Rewards!3+1 Bed, 2 Wash,New Kitchen,Sep.Entry For W/O Finished Basement Movein Detached Home,Fully Renovated,7 Mins To Niagara Falls/Us Border,Close 2 Downtown Shopping,On Quiet Street.Perfect...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3182,106 Juniper Isle Rd,"$799,999 CAD",1+1 beds,3 baths,"

Kawartha Lakes
Fenelon Falls
Juniper Isle Rd


(  )
- BTC

","

106 Juniper Isle Rd
$799,999 CAD
3 baths
1+1 beds



Kawartha Lakes
Fenelon Falls
Juniper Isle Rd


(  )
- BTC


Great Amazing House In The Kawartha Lakes With Access To The Lake. Open Concept Amazing Lot. Private Area. This Is Your Dream House. Located In One Of The Nicest Ares In Kawartha Lake With Green Views And Green Areas :Fridge, Stove, B/I Dishwasher, Washer, Dryer.


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3183,3 Rankin Ave,"$399,900 CAD",0 beds,0 baths,"

South Bruce Peninsula


(  )
- BTC

","

3 Rankin Ave
$399,900 CAD
0 baths
0 beds



South Bruce Peninsula


(  )
- BTC


Build Your Dream Beach House At Beautiful Sauble Beach On One Of Canadas's Top Freshwater Sand Beaches On Lake Huron! Located In A Quiet Area Minutes To Downtown + Beach. This Well Treed Building Lot 90' X 171' Is Ready To Build Your New Home & Enjoy The Incredible...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3184,85407 Grey 14 Rd,"$1,969,000 CAD",3+2 beds,2 baths,"

Southgate
Rural Southgate
Grey 14 Rd


(  )
- BTC

","

85407 Grey 14 Rd
$1,969,000 CAD
2 baths
3+2 beds



Southgate
Rural Southgate
Grey 14 Rd


(  )
- BTC


Incredible 9.7 Acres Close To Shelburne With 1255.80 Ft Front On The Main Road. Corner Lot With A Beautiful 3+2 Bed Bungalow With Open Concept Eat-In Kitchen And Living Area With High Cathedral Ceiling. It Contains 1440 Sq Ft Barn W/Hunting Blind. Home Features A Metal...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3185,322 Cosby Subdivision Rd,"$2,199,000 CAD",0 beds,0 baths,"

Northeastern Manitoulin and


(  )
- BTC

","

322 Cosby Subdivision Rd
$2,199,000 CAD
0 baths
0 beds



Northeastern Manitoulin and


(  )
- BTC


Imagine 2022..The Year That Could Be Your Exciting New Chapter In Life. This Private Paradise With Captivating Views Of The Water And Plush Greenery, Is A Lifetime Game Changer. Can You Imagine Yourself Peacefully Sitting On Your Deck Watching Endless Sunrises And...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3186,4166 Marlbank Rd,"$1,899,000 CAD",0 beds,0 baths,"

Tweed


(  )
- BTC

","

4166 Marlbank Rd
$1,899,000 CAD
0 baths
0 beds



Tweed


(  )
- BTC


One-Of-Kind Rare Private Oasis. Vtb May Be Available To The Right & Suitable Buyer W/Conditions. Yes You Can Own Your Private Lake. Property Is About 200 Acres With Its Own Lake. The Name Of The Lake Is Dry Lake. Enjoy The Unique Feature Like Sun Rise & Sun Set...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3187,1664 Evangeline St,"$1,799,000 CAD",0 beds,0 baths,"

London


(  )
- BTC

","

1664 Evangeline St
$1,799,000 CAD
0 baths
0 beds



London


(  )
- BTC


Attention Builders, Developers Or Investors! 6 Semi-Detached Conditionally Approved (34 Ft W X 152 Ft D). No Neighbours In The Back. Located In The Heart Of London. Great Residential Area. Close To Fanshawe, Western University, &  401. Fully Fenced, Each Lot Is Approx...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3188,4 Chloe St,"$759,990 CAD",4+1 beds,2 baths,"

St. Catharines


(  )
- BTC

","

4 Chloe St
$759,990 CAD
2 baths
4+1 beds



St. Catharines


(  )
- BTC


Attention Investors/End Users. Rare! Rare! Rare! Ready To Move In This 4 Bedroom Freehold Townhome On Chloe St. Good Opportunity For First Time Buyers And Investors. Also Suitable For Retirees And University Students. 15 Minutes Away From Brock University. Steps To...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3189,2594 Murphy Dr,"$1,097,000 CAD",5 beds,2 baths,"

Adelaide Metcalfe


(  )
- BTC

","

2594 Murphy Dr
$1,097,000 CAD
2 baths
5 beds



Adelaide Metcalfe


(  )
- BTC


2.60 Acres Property Sitting On The Quiet County Rd. 5 Bdrm Brick Raised Ranch House With 3600 Sq Ft Of Living Space. Lvg Room Has A Stone Fireplace; Covered Deck For Bbq Or Sitting Enjoying The Weather; Finished Lwr Lvl With A Fam Rm With Patio Doors At Ground Lvl; A...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3190,465 Adams Rd,"$669,999 CAD",4+2 beds,3 baths,"

Sundridge


(  )
- BTC

","

465 Adams Rd
$669,999 CAD
3 baths
4+2 beds



Sundridge


(  )
- BTC


Live The Life On 100 Acres! Explore The Several Trails & Ponds Throughout. A Good Mix Of Forest And Open Space. Great For The Outdoor Enthusiast/Hunter, Abundant Wildlife! Loads Of Room For The Family  In This 4 Season - 3 Bedroom, 3 Bath Detached Bungalow & 30X60Ft...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3191,148 Rowntree Mill Rd,"$1,999,000 CAD",3+3 beds,2 baths,"


Humber Summit
Rowntree Mill Rd


(  )
- BTC

","

148 Rowntree Mill Rd
$1,999,000 CAD
2 baths
3+3 beds




Humber Summit
Rowntree Mill Rd


(  )
- BTC


Attention Builders, Developers And Investors, 3+3 Bedroom Fully Renovated Bungalow On A 100'X400'+ Land, Great Possibilities, Excellent Multi-Million Dollar Neighborhood, Minutes To Highways, Parks, Shopping, Public Library And Much More 2 Fridges, 2 Stoves, Washer And...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3192,166 Caledonia Rd,"$1,799,900 CAD",5+2 beds,5 baths,"


Corso Italia-Davenport
Caledonia Rd


(  )
- BTC

","

166 Caledonia Rd
$1,799,900 CAD
5 baths
5+2 beds




Corso Italia-Davenport
Caledonia Rd


(  )
- BTC


Investors Alert!! Perfect Investment -5 Separate Apts-Semi-Detached W/Addition-Much Larger Than It Appears, Potential Rent-1 Apt Upstairs $2,200, 1 Apt On Main Flr $2,600, 1 Apt Upstairs At Back Of House $1,000, 2 Apt Units In The Bsmnt $2,000. Total Potential $7,800...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3193,13540 Kennedy Rd,"$11,900,000 CAD",4+1 beds,5 baths,"

Caledon
Rural Caledon
Kennedy Rd


(  )
- BTC

","

13540 Kennedy Rd
$11,900,000 CAD
5 baths
4+1 beds



Caledon
Rural Caledon
Kennedy Rd


(  )
- BTC


Rare Opportunity! 3800 Sq Ft Custom Finished Bungalow With Loft Plus Finished Basement With 2nd Kitchen, 3 Car Garage And Operating Garden Centre!  Live And Work From Home! 478' Frontage On Kennedy Rd. Excellent Future Development Potential For Land Not In The...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3194,42 Lakeshore Rd,"$650,000 CAD",1 beds,1 baths,"

Oro-Medonte
Rural Oro-Medonte
Lakeshore Rd


(  )
- BTC

","

42 Lakeshore Rd
$650,000 CAD
1 baths
1 beds



Oro-Medonte
Rural Oro-Medonte
Lakeshore Rd


(  )
- BTC


Amazing Piece Of Property In Sought-After Waterfront Community On Lakeshore Road. This 50 X 200' Premium Lot Has Loads Of Potential. Use The Existing Structure Or Build Your Dream Home. Several Water Access Points Within Walking Distance, Boat Launch Close By And Only...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3195,148 Hillsview Dr,"$5,488,000 CAD",5+2 beds,9 baths,"

Richmond Hill
Observatory
Hillsview Dr


(  )
- BTC

","

148 Hillsview Dr
$5,488,000 CAD
9 baths
5+2 beds



Richmond Hill
Observatory
Hillsview Dr


(  )
- BTC


The Most Luxurious Estate In Observatory! Quality Custom-Built On A Premium Lot (84X210 Ft). Bayview Secondary School Zone. 3 Layer Lifetime Warranty Roof. Prof Landscaping, Circular Driveway, Interlock Tumbled Stone. Approx 7,500 Sq Ft Of Living Space, 3-Car Garage W...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3196,81 Beck Dr,"$1,500,000 CAD",4+2 beds,3 baths,"

Markham
Raymerville
Beck Dr


(  )
- BTC

","

81 Beck Dr
$1,500,000 CAD
3 baths
4+2 beds



Markham
Raymerville
Beck Dr


(  )
- BTC


Most Desirable 4 Bedroom Plus In A Remarkable Neighborhood Of Raymerville. Minutes To Markville High School, Public & Catholic Schools, Parks And Trails. Minutes To Markville Mall, Transit, Go Station & 407 Hwy. Upscaled Neighborhood. Fridge, Stove, Washer, Dryer...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
