,Address,Price,Beds,Baths,City,Area,Street,Description
3673,50 Middle St,1149900,6,4,Georgina,Sutton & Jackson's Point,Middle St,"Rare Opportunity To Own This Recently Updated Investment Building With 3 Legal Residential Units (Zoning Allows 4 Units & Can Be Converted Back To 4 Units). Currently 2nd Floor Is One Large 3 Bedroom Unit With Spacious Living, Dining & Kitchen & W/O To Deck. Main Floor..."
3674,163 Arnold Ave,10500000,4+2,9,Vaughan,Crestwood-Springfarm-Yorkhill,Arnold Ave,"Award Winning 'David Small Designs' Architectural Design!~ Modern Mansion On Prestigious 'Arnold Avenue' In Prime Thornhill! *10,000 Sq.Ft.Of Luxury Lifestyle Living+ Interlocked Backyard Swimming Pool Oasis+ Massive In& Outdoor Solarium Bbq Station/ Covered Veranda..."
3675,1041 Birchmount Rd,6600000,9+9,14,Toronto,Ionview,Birchmount Rd,"Rare Found Multiplex In Scarborough. Six Freehold Townhouses (About 1200Sft Each) At Birchmount/Eglinton, Walking To Future Lrt, Ttc Stop At Door, Park Beside And Behind, Upgrade Inside Out (2020/2021), Fully Occupied, Great Income Property With Annual Rental Income..."
3676,1863 Queen St 517,1175000,2,2,,The Beaches,Queen St,"Spectacular South Facing Penthouse Corner Unit W/ Loads Of Natural Light & Stunning Views Of The Lake! Recently Updated W/ Brand New S/S Appliances, Quartz Countertops, Undermount Sinks, New Faucets, Hardware & Light Fixtures. Smooth Ceilings, New Flooring & 5..."
3677,3220 Sheppard Ave 312,659000,1+1,2,,Tam O'Shanter-Sullivan,Sheppard Ave,"Sitting On The Boarder Of North York & Scarborough, European Design Finishes. Laminate Throughout. 1 Parking Spot & 1 Locker Included. Great Amenities Including Gym, Concierge, Game Room, Theatre Room, Library & Dining Room. Steps Away From Ttc, Groceries, Community..."
3678,1800 Simcoe St 305,240000,0,1,Oshawa,Samac,Simcoe St,"Excellent Investment Opportunity. Located In The Heart Of Oshawa Education Hub Next Door To University Of Ontario Institute Of Technology & Durham College. With Great Amenities Such As A Games Room, Group Study Room, Gym, Private Study Rooms, And Student Lounge On Each..."
3679,31 Jones Lane,899900,0,0,Welland,,,"This Building Is A Turnkey Money Maker! Currently Rented On Airbnb W/ Direct Dep. To Your Bank Acct. 5 Yr Old, Well Built 2 Storey Building W/ Full Finished Basement On Quiet Dead End Street. Price Includes 10 Fully Furnished, Short-Term Rental Units. 2 Units Have In..."
3680,104 Helen St,799000,0,1,Blue Mountains,Blue Mountain Resort Area,Helen St,"Location Location Location!! Enjoy The Gorgeous Snow Covered Mountains With A Blue Mountains North Chairlift And The Toronto Ski Club Located Right Across The Street. With The Blue Mountains Village 5 Minutes Away, Your Summers Could Be Spend Bike Riding Or Enjoying..."
3681,925 Deveron Cres,821440,2,2,London,,,"Nestled In Beautiful Pond Mills Along The Thames River, Built By The Ironstone Building Company Inc. This Bungalow Foxwood Model Home Has So Much To Offer. Featuring 2 Large Bedrooms And 2 Full Baths. This Open Concept Main Floor Plan Has Engineered Hardwood Throughout..."
3682,30 Flindon Rd,1249999,3+2,4,,Humberlea-Pelmo Park W5,Flindon Rd,Look At This Stunner!!! Welcome To The Newly Renovated 30 Flindon Road. This Spacious Corner Lot Screams Family Home. Check Out The Tasteful Updates In Each Of The 5 Bedrooms/4 Bathrooms. Just Below Sits An Amazing Rental Opportunity. Surrounded With 2 Side Decks And...
3683,131 Lockhart Rd,1598000,0,0,Barrie,Rural Barrie Southeast,Lockhart Rd,"Rare Real Estate Investment Opportunity Of  5.13 Acres Property. Aproxm 3.5 Acres High And Dry And 1.5 Acres With Spring Fed Creek. Industrial, Residential Uses Permited Under Secondary Usage In City Of Plan, Currentl Zoning Allows A Dwelling As An Accesory Use. Buyers..."
3684,45 Kenneth Ross Bend,2100000,4+1,4,East Gwillimbury,Sharon,Kenneth Ross Bend,"Assignment Sale! Rare Sharon Model! Luxury Finished On A Spectacular Deep Ravine Lot W/ Walkout Bsmt In Prime Sharon Area. This Bright 3600+ Sq Ft Beautiful Features Home Office Room With French Dble Doors, 10' Ceilng Main, 9' On 2nd, Pot Lights, Hardwood Floor On Main..."
3685,735 Concession 9 Rd,4750000,4,3,Brock,Sunderland,Concession 9 Rd,"Immensely Large Farm Property On 225 Acres With A 2-Storey Dwelling Custom-Built By Royal Homes. Featuring 2 Kitchens, 2 Staircases To 2nd Floor, Full Basement With Bathroom, Large Wooden Deck, Large Front & Rear Lawns. 2 Road Frontages On Concession 9 And Concession..."
3686,10 Sowden Crt,2688000,5,5,Clarington,Rural Clarington,Sowden Crt,"*Top-Tier Lot 8,Approx., 2.28 Acres*19 New Masterpiece Estate Homes Nestled On The Private Crt*Thoughtfully Designed, Luxurious Features, Extensive Insulation, High-End Finishing*5 Br,5 Wr,3 Garage*Only Around An Hour Drive From Downtown Toronto,Lush Trees, Natural..."
3687,8955 Liberty St,1499000,2+2,3,Liberty St,,,"You Are Buying A Lifestyle With This Property. Unaltered Views East, West And South To The Far Side Of Lake Ontario. Absolutely One Of A Kind. Farm Fields, Wooded Areas, Numerous Springs And Complete Serenity Is All Included. House Is Much Larger Than It Looks And Is..."
3688,46 Centre Ave,2398000,4+2,4,,Newtonbrook East,Centre Ave,**Fabulous Opportunity**Enormous Professionally Top To Bottom Renovated Bright 4+2 Br House On A Rare Find 73' Frontage.Separate Enterance To Large 2 Bedroom Bsmt In Law Apt W Rental Income Could Pay Your Mortgage.Spacious Bedrms**Chef's Renovated O/C Custom Chef's Kit...
3689,226 Lawrence Ave,2688000,4,4,,Lawrence Park North,Lawrence Ave,"Completely Renovated Detached Home In The Most Prestigious Lawrence Park. 50 Ft Lot, 4 Bdrms, 3 Baths, W/O To Private Terrace. Gourmet Kitchen W/Top Of The Line Ss Appliances. Finished Bsmt W/Rec Rm & Kitchenette. Private Drive,5 Prkg,Mouldings,Pot Lights,Hardwood Thru..."
3690,50 Ann St St 506,989000,2+1,2,Caledon,Bolton North,Ann St St,"Brand New 5 Storey Condo Building In Bolton's Dt Core, Walking Distance To Rest.'S, Shops, Hiking Trails & Conservation. Highly Sought After ""King"" Model Is A Corner Unit On Penthouse Flr Approx. 1210 Sq Ft + 5' X 29' Private Balcony O/L Treed Area To West. Many..."
3691,296 Mill Rd C6,815000,3,3,,Markland Wood,Mill Rd,"The Masters, A Hidden Gem In Toronto! The Most Popular Up Split Layout In The Building, 3 Bed, 3 Bath, 2 Balcony Unit. Sitting On 11 Acres, Backing Onto The Markland Wood Golf Course, This Unit Boasts Spectacular Views From Both Spacious Balconies, One Open & One..."
3692,50 Lakeside Terr 508,599999,2,2,,Little Lake,Lakeside Terr,"Life Is Better At The Lake. Experience The Best Of City Life And Lake Living At Lakevu Condos. This Spacious 830 Sqft Suite W/  Has 2 Bdrms, 2 Bthrms, & A Stunning Large Balcony. Amenities Include Roof Top Terrace, Party Room With Pool Table, Pet's Spa & Guest Suite..."
3693,330 Richmond St 1115,759000,1,1,,Waterfront Communities C1,Richmond St,Location!  Modern Large 1 Bedroom Suite Located In The Heart Of The City - 604 Sqft. This Greenpark Built Condo Boasts A Very Functional Open Concept Layout With Laminate T/O & 9' Ceilings. Balcony Provides Stunning City Views! Beautiful Modern Kitchen With Quartz...
3694,125 Blue Jays Way 2902,950000,2+1,2,Toronto,Waterfront Communities C1,Blue Jays Way,"Less Than One Year Old New Condo, 2 Bedrooms Plus Large Den Corner Unit In The Highly Desired King Blue Condo, Lake & City Views Overlooking The Cn Tower! Live In Complete Luxury And Enjoy High-End Finishes Throughout, 9 Ft Ceiling And Top Of The Line Amenities..."
3695,35 Balmuto St 4502,1868000,3,3,,Bay Street Corridor,Balmuto St,"Prestigious Yorkville Location At Bay & Bloor. Fabulous 3 Bedrooms Condo Has 1768 Sq Ft With 10 Ft Ceiling Height. Modern Kitchen With Ss Appliances And Dine In Area. Facing The Lake.Large Balcony. Steps To Finest Shops And Restaurants, Subway Station. Close To..."
3696,2947 12th Line,3399000,4,2,Bradford West Gwillimbury,Rural Bradford West Gwillimbury,12th Line,"Great Property Premium Huge 21.16 Acres Private Lot With 2132 Ft Frontage.Beautiful Country Property.4 Br House With Many Upgrades,Main Flr Mstr & Lndry,New Gorgeous Hardwood & Large Updated Wrms.Walking,Hiking,Trails Through Bush & Even 1500 Ft Air Landing Strip For..."
3697,13064 Highway 48 Rd,3999000,2+4,5,Whitchurch-Stouffville,Stouffville,Highway 48 Rd,"18.94 Acres As Per Mpac. Excellent Location Factor: Approx 1-Km To Sanitary Sewer Pipes@ Gas Station 10 Norman Jones&Hwy 48.Note: Seller Agrees To Make An Application, Town Of Ws &York Region To Allow For Severance & ""New Road Allowance"" @The West Side Of The  Five(5..."
3698,108 Admiral Rd,2650000,4+2,6,,Annex,Admiral Rd,Welcome To Admiral Road. Toronto's Finest Address In The Annex. 6 Apts With Full Kitchens & Baths. 3500 Sqft Total Living Space. 3 One Bedroom & 3 Bachelor Apts. Many Updates Throughout. Operated As 6 Plex Since 1950S. 3.9% Cap Rate With A Huge Upside Potential In...
3699,1145 Journeyman Lane 113,485000,1,1,Mississauga,Clarkson,Journeyman Lane,"Brand New Never Lived Elegant, Very Spacious And Beautiful 1 Bed 1 Bath. Parking And Locker Included. Steps Away From Clarkson Go Station. All New S/S Appliances. Walking Distance To Bus Stop & Go Train Station, Park & Schools. Perfect For Anyone Who Needs To Commute..."
3700,17 Bathurst St 2315,1298888,3,2,Bathurst St,,,"Enjoy Stunning Lake And Cn Tower Panoramic Views From Premium Corner Unit, Attached Loblaws Flagship Supermarket & 87,000Sf Of Essential Retail. Steps To The Lake, Restaurants, Shopping, Entertainment District, Parks, Schools, Sports Arenas & More! Easy Access To Hwy..."
3701,15 Fort York Blvd 510,1050000,2+1,2,Fort York Blvd,,,"Renovated 2 Bedroom + Den And 2 Full Washrooms. Beautiful Open Concept Living Floor To Ceiling Windows. South Lake View, New S/S Appliances. Financial And Entertainment Districts. 6 Acres Of Park, Community Centre, Schools, Sobeys Across. S/S Fridge, S/S Stove, S/S..."
3702,57 Hopperton Dr,2899800,5+2,5,,St. Andrew-Windfields,Hopperton Dr,"Well Maintained Home In Windfield, Large Pie Shaped Lot 46X155 (Rear 65 Ft)Huge Home Over 5000 Sq Ft Finished Living Space, 5+2 Bedrooms 5 Baths, Fam Rm Rec Rm, Main Fl Laundry, Double Dr Garage Extensive Stone Landscaping. Multiple Decks, Sep Entrance/ Fin W/O..."
3703,697 Browns Line,1449000,4+1,3,,Alderwood,Browns Line,"Great Rare Opportunity To Own 1 1/2 Story Detached 4+1 Bedroom Home In Highly Desired Alderwood With Prestigious Address. Offers 3 Spacious Kitchens, 3 Bathrooms (One On Each Level) W/ Sep Entrance To One Bedroom Apt/In-;Aw Suite In Basement For Extra Cash Flow. Many..."
3704,8 Bright Terrace Way,1750000,3,3,Markham,Angus Glen,Bright Terrace Way,"Executive 'Kylemore' Corner Town Home 2448 Sq.Ft. Facing S.E. Under Construction. 10' Ceiling, 5"" Hardwood On Main Level, 9' Ceiling On 3rd Level. H/Wood Stairs, 12 X 24"" Tiles In Foyer, Kitchen & Bathrms,  Kitchen, Servery,Quartz Counters.  Primary Bedroom 5 Piece..."
3705,1255 Bayly St Ph02,1645900,2+1,3,Pickering,Bay Ridges,Bayly St,"Unobstructed South Views Of Lake Ontario. Exclusive And Spacious Grand Penthouse Corner Suite In The Award Winning Sf3 Condos Tower At San Francisco By The Bay. Featuring Over 2,300 Sf Of Indoor And Outdoor Living. Resort Style Amenities Include Outdoor Pool, Elegant..."
3706,171 East Liberty St 2605,752900,1+1,1,,Niagara,East Liberty St,"Enjoy The Views Up High Atop Liberty Market Tower,The Landmark Of Liberty Village. Gorgeous Finishes & Functional Layout Can Accommodate 2 Home Offices Or A Growing Family. A Perfect Transit Score And Walker's Paradise Steps From Ttc,Go,Future King-Liberty Station..."
3707,4 Needham St,599900,0,0,Kawartha Lakes,Lindsay,Needham St,Calling All Investors/Builders/Developers! 1.543 Acre Parcel In Lindsay. 
3708,400 7th St,449000,3,3,Hanover,Hanover,7th St,"When Viewing This Property On Realtor.Ca Please Click On The 'Multimedia Or Virtual Tour' Link For More Property Info. Very Well Cared For, 3Br, 2 Story Home. Features A Lrg Main Br W/ Ensuite. Open Concept Lr & Kit. Includes Ss F, S, M, D. Main Fl Laundry. 8'8..."
3709,1470 Pinetree(Part 1) Cres,2490850,0,0,,Mineola,Pinetree(Part 1) Cres,"Rarely Available Majestic Treed Lot On The West Side Of Stavebank Rd & Pinetree Cres In The Heart Of Mineola West. Build Your Own Custom Home On This Beautiful 100 Ft X 110 Ft Estate Lot In A Prime Location, Surrounded By Multi-Million Dollar Custom Homes & On The Most..."
3710,2701 Lower Base Line,11999000,3,2,Milton,Trafalgar,Lower Base Line,"**Approximate 11.17 Acres(As Per Mpac) Of Land With House**Property (Including The House & All Other Buildings)Being Sold ""As Is"" Condition From All Aspects,No Representations And/Or Warranties Made By The Seller,Listing Brokerage & Listing Agent Regarding This..."
3711,14 Townsend Ave,1599999,3,2,Burlington,LaSalle,Townsend Ave,"Prime Lot Beautiful Well Cared For Home On Quiet Family Friendly Street Surrounded By Mature Trees In The Heart Of Desirable South Aldershot! Birdland,5 Min Walk From The Lake,  With A Dog Park In The Back. Potential In-Law Suite.Separate Side Entrance.Build,Reno Or..."
3712,14 Yore Rd,1771000,3+1,5,,Beechborough-Greenbrook,Yore Rd,"Rarely Offered Designer Gem Near Fast Growing Sub Line. Updated Ultra Modern Interior 2300 Sq Ft Living Area. Every Family Member Will Love Waking Up To Heated Floor On Main & 2nd Floor; 30 Ft Cabinetry Integrated Chefs Kitchen With Living Room Entertainment Unit, Trim..."
3713,878 Penetanguishene Rd,3500000,4,2,Springwater,Rural Springwater,Penetanguishene Rd,"Top 5 Reasons You Will Love This Home: 1) Investment Opportunity On A 142 Acre Farm With Prime Loam Soil 2) Well-Sized Eat-In Kitchen, Living Room, Office, Four Spacious Bedrooms, And Storage Throughout 3) Reshingled Roof, Detached 50'X36' 3-Car Garage With Attached..."
3714,27887 Highway 48 Rd,3000000,3,2,Georgina,Baldwin,Highway 48 Rd,"Property Is Generating Approx-$4500-/Monthly Rental Income For Short Terms And Air Bnb ,Raised Bungalow On 5 Acres Of Land. Lots Of Future Potential As Property Also Zoned Highway Commercial With A Long List Of Permitted Uses. House Can Be Rented While You Work On Site..."
3715,243 Rockaway Beach Pl,1349900,2,1,Innisfil,Gilford,Rockaway Beach Pl,"Cottage Season Is Right Around The Corning And This Is The Perfect Place To Enjoy It! Fully Updated, Move-In Ready With Over 34 Feet Of Water Frontage On Lake Simcoe. Located Only 1 Hour From Downtown Toronto, & 15 Mins From Barrie/Bradford. Enjoy Swimming, Boating And..."
3716,3121 St Clair Ave,1399900,2,1,Toronto,Clairlea-Birchmount,St Clair Ave,"Renovated 2+1 Bedroom Detached Bungalow On A Premium 50Ft Lot In Highly Desirable Clairlea Neighbourhood. House Is Ready To Move In Or Rent Until Time To Develop! Owner Has Submitted Plans To Sever And Build 2 Detached, 2,100 Sq. Ft. Modern Homes Featuring Open Concept..."
3717,9565 Baldwin St,999000,4,4,Whitby,Rural Whitby,Baldwin St,"This Highly Sought After, High Exposure Commercial/Residential Building Boasts Great Income, With The Opportunity To Live Where You Work, And Still Get Added Income. Commercial Unit Also Has Additional Square Footage, As The Basement Is Included. 2 Residential Modern..."
3718,141 Bannockburn Ave,2828000,4+1,5,,Bedford Park-Nortown,Bannockburn Ave,"Do Not Miss This Exquisite Custom Built, 4+1 Bedroom Contemporary Home In Highly Sought After Bedford Park. Bright Open Concept With Large Principal Rooms. Unparalleled Finishes Including Hardwood Floors Th/O, Gourmet Chef Kitchen W/Quartz Counters, Center Island..."
3719,20 Brin Dr Ph04,2149900,2+1,3,,Edenbridge-Humber Valley,Brin Dr,Welcome To Kingsway By The River. Nestled Between The Esteemed Kingsway And Lambton Communities. Humber River Trails At Your Door Step While Only A 15 Minute Drive From Downtown Toronto! Exquisite Penthouse With Smooth 9' Ceilings And Stunning Views Over The Humber...
3720,20 Brin Dr Ph02,2099900,2+1,3,,,,Welcome To Kingsway By The River. Nestled Between The Esteemed Kingsway And Lambton Communities. Humber River Trails At Your Door Step While Only A 15 Minute Drive From Downtown Toronto! Exquisite Penthouse With Smooth 9' Ceilings And Stunning Views Over The Humber...
3721,2261 Lake Shore Blvd 1203,749900,2,2,,Mimico,Lake Shore Blvd,"Absolutely Gorgeous Lake Views In This Bright & Sunny South West Facing 2 Bdrm 2 Bth Condo,Fabulous Layout,Airy Living/Dining Room,Upgraded Open Concept Kitchen With Quartz Counter Top & Stainless Steel Appliances.The Master Bed Room Has 4 Pc Ensuite With Lots Of..."
3722,20 Brin Dr 407,599900,1,1,,,,Welcome To Kingsway By The River. Nestled Between The Esteemed Kingsway And Lambton Communities. Humber River Trails At Your Door Step While Only A 15 Minute Drive From Downtown Toronto! Smooth 9' Ceilings And A Large Balcony. Views Over The Humber River And Ravine...
3723,898 Portage Pkwy 4305,679999,2+1,2,Vaughan,Vaughan Corporate Centre,Portage Pkwy,Incredible Views Of The City Above Toronto. Just Steps From The Vaughan Metropolitan Centre Subway And Transit Hub. Easy Access To The State Of The Art Ymca And Library. Close To The 407 And 400 Series Highways. Nearby Shopping At Vaughan Mills. Close To The New State...
3724,388 Bloor St 1807,530000,1,1,,Rosedale-Moore Park,Bloor St,"Motivated Seller.Offers Anytime!!Situated In An  Exclusive Boutique Building Backing Onto The Ravine & Steps  To All The Finer Things Yorkville Has To Offer. This Bright & Spacious Suite Offers A Very Functional Layout,  Open Concept Spacious Kitchen W/A Huge Island..."
3725,38 Forest Manor Dr 204,729900,2,2,,Henry Farm,Forest Manor Dr,"Assignment Sale. Two Bedroom & Two Bathroom Unit 664 Sq.Ft. With Open Concept Layout Plus Massive 157 Sq.Ft. Balcony With Parking & Locker Included. 9 Ft Ceiling. Walking Distance To Subway, Fairview Mall, Hwy 404 & 401. Located Near Don Mills & Sheppard. Building..."
3726,39 Alexandra Dr,1200000,4,3,Thorold,,,"Empire Allure Model 2414 Sqft. Detached House On A Premium Wide Lot Of 43.8 Feet  With Bright Spacious 4 Large-Size Bedrooms With Lots Of Natural Lights, 2.5 Washrooms. 2nd Floor Laundry. Pls Follow Covid-19 Precaution Protocols For Showings.Only 5 Minutes From Seaway..."
3727,422185 Concession 6 Ndr Rd,895000,2+1,1,West Grey,Rural West Grey,Concession 6 Ndr Rd,"This Property Is A Must See. Enjoy The Beautiful Country Views From This 3 Bedroom Home On A 10 Acre Farm Located Just Outside The Town Of Hanover. This Country Style Home Has A Large Eat In Kitchen, A Main Level Primary Bedroom And 2 Bedrooms Located On The Upper..."
3728,1021 Beaver Valley Cres,1600000,4+1,4,Oshawa,Northglen,Beaver Valley Cres,"Renovated, Gorgeous & Move-In Ready, This 4+1 Bedrms & 4 Baths Home. Welcomes Your Family! Brilliant Masterpiece Sitting On Large Corner Lot. Meticulous Attention To Detail & Finishings The Most Discerning Will Appreciate. Main Floor With Ample Light And Perfect For..."
3729,9201 Yonge St 103,945500,1+2,2,Richmond Hill,Langstaff,Yonge St,2 Units In One! * Huge 1200+ Sqft Walk Out Terrace  * 3 Years New * Located In South Prime Richmond Hill * Live In One & Work In The Other * 2 Separate Entrances * Perfect 1 +1 Bedroom W/ Large Area That Can Be Converted To More Living Space Or Any Business!  * Gourmet...
3730,2799 Kingston Rd 304,574900,1+1,1,,Scarborough Village,Kingston Rd,"Welcome To The Bluffs! A World-Class Boutique Condo Overlooking The Breath Taking Views Of Lake Ontario. 1+ Den 630 Sq Ft With A 59 Sq Ft Balcony, South Facing Views, Laminate Flooring, Quartz Counter Tops , Stainless Steel Appliances, Amenities Incl. Media Lounge..."
3731,19 Western Battery Rd 1109,879900,2+1,2,,Niagara,Western Battery Rd,"Luxury Zen King West Condos In Liberty Village, Stunning Unobstructed Lake And City Views, Functional 2 Bed + Den Which Can Be Used As 3rd Bedroom Or Home Office W/ Sliding Door, Open Concept With Lots Of Natural Light 3000 Sq Ft Spa, Plus Pools 5000 Sq Ft Gym , Sky..."
3732,120 Donlands Ave 101,1084900,3,2,,East York,Donlands Ave,"Assignment Sale!! Somerside Collection New Development By Louisville Homes. Rare Opportunity In Danforth Village. Georgian Style Boutique Condominium. 3 Bedroom Luxurious Condo Town Available. Offering Pre Engineered Hardwood Flooring, Stainless Steel Appliance Package..."
3733,8 Hiawatha Pkwy,3799000,5+1,7,Mississauga,Port Credit,Hiawatha Pkwy,"Welcome To A Master Piece Debut Release! First Of It's Kind Located In A Prestigious Port Credit Area Steps To Lake . Impeccable Craftsmen Ship, More Than 6000 Sqft Of A Elevated Living Space Luxury Features. 5 Bdrms, 7 Washroom , Smart Home Entertainment, Gourmet Chef..."
3734,1255 Bayly St Ph03,1645900,2+1,3,Pickering,Bay Ridges,Bayly St,"Unobstructed South Views Of Lake Ontario. Exclusive And Spacious Grand Penthouse Corner Suite In The Award Winning Sf3 Condos Tower At San Francisco By The Bay. Featuring Over 2,300 Sf Of Indoor And Outdoor Living. Resort Style Amenities Include Outdoor Bbq's, Fitness..."
3735,38 Dan Leckie Way 808,678000,1+1,1,Toronto,Waterfront Communities C1,Dan Leckie Way,"Beautiful One Bedroom With Den Unit On High Floor With Spectacular Panoramic View Of The City, 10Ft Ceiling And Large Picture Windows In Living, Dining, Den And Bedroom, Bright And Spacious Functional Layout, Master Bedroom With Semi-Ensuite Walk Thru To Bathroom..."
3736,188 Spadina Ave Th4,1499900,3,3,,Kensington-Chinatown,Spadina Ave,"Absolutely Gorgeous And Spacious 2,044 Sq Ft Condo Townhouse Located In A Quiet Boutique Building At The Trendy And Vibrant Intersection Of Spadina And Queen! Upgraded Modern Kitchen W/ Stainless Steel Appliances, Custom Backsplash And Lots Of Cabinet Space..."
3737,5930 Machette Rd,1089900,6,3,LaSalle,,, 
3738,22 Becker Rd,69900,3,2,Hornepayne,,,"3 Bedroom 1.5 Bath Bungalow Being Sold On An ""As Is And Where Is"" Basis Without Representation Or Warranty Of Any Kind Whatsoever From The Seller Or Listing Brokerage.  Requires Extensive Renovation Including Foundation Repairs. Concrete Block Wall Is Bowing In, Snow..."
3739,2419 Camilla Rd,4480000,7+4,11,,Cooksville,Camilla Rd,"Opportunity Knocks For This Exceptional Custom Built Home.This Beautiful 7Yr Old Home Boasts Over 9000 Sqft Of Total Living Space With Unique Three Units (Nanny Suite & Fully Finished Bsmt In Law Suite) With 7+4 Bedrms And 11 Baths. Gorgeous 2 Storey Living Rm,Open..."
3740,1089 Greenoaks Dr,2250000,3+1,3,,Lorne Park,Greenoaks Dr,Opportunity Knocks To Own This Gorgeous Home In Desirable Location Of Lorne Park On A Premium 75 X 205 Ft Lot.This Wonderful Sidesplit Boasts Over 3200 Sqft Of Total Living Space W/Privacy On A Large Wooded Lot.Sun Filled Living Room Overlooking Front Yard & Formal...
3741,10577 Clarkway Dr,28000000,0,0,Brampton,Highway 427,Clarkway Dr,Residential / Industrial Development.  Approximately 10.21 Acres With Existing Bungalow And Detached Garage With 2 Driveways.  Located Just North Of Castlemore Rd. And South Of Countryside Rd. City Water & Sewer Trunk On Street.  Seller Will Take Back A 1st Mortgage At...
3742,26 Ted Wray Circ,999999,3,3,,Downsview-Roding-CFB,Ted Wray Circ,"Amazing 3 Story Free Hold Town House With Generous Room Sizes And Layout, Show And Sell, Motivated Sellers. All Elf's, All Window Coverings, Cac, All Existing Appliances."
3743,40784 Shore Rd L0K1A0,149000,0,0,Brock,Beaverton,Shore Rd L0K1A0,Thora Island Escape! This Lot Comes With A Small Building And Is Abutting Thora Island Harbour. Accessible By Boat This Property Is Perfect For A Nature Enthusiast Who Is Looking For Island Property On Lake Simcoe. Located 15 Minutes From Beaverton Harbor Building On...
3744,61 Highland Park Blvd,1798800,3+1,3,Markham,Grandview,Highland Park Blvd,"Opportunity Knocks - Live, Enjoy, Invest! Beautifully Maintained & Updated Home On A Quiet, Leafy Street. Included In The Yonge Steeles Density Intensification Corridor -Allows For Higher Density Development. Located Steps To Ttc & Future Subway; In Top-Ranked..."
3745,24 Gaukel St 204,539990,1+1,1,Kitchener,,,"Charlie West Bldg @ Downtown Core Kitchener, Interior 755,Sqft + Balcony 48Sqft = Total 803Sqft.Spacious 1Bd+Den Unit Right On Ion Light Rail Transit Route. Close To Kitchener City Hall, Shopping, Restaurants, Innovation District, World-Class Education Campuses..."
3746,251 Manitoba St 0923,580000,1,1,,Mimico,Manitoba St,"Welcome Home To Your Brand New Suite At Empire Phoenix! 1 Bedroom Luxury Suite Mimic Single Detached Living But Offer Access To Building Amenities Including Outdoor Pool, Party Room, Rooftop Terrace & Fitness Centre! Low-Maintenance Affordable Living! Act Quick, Will..."
3747,2351 Kennedy Rd 123,699990,3,2,,Agincourt South-Malvern West,Kennedy Rd,"Wow! Approx. 1,200 Sqft. Newly Renovated 3 Bedrooms Condo Facing Ravine Combine With Mixed Used Home-Office Unit Facing Kennedy Rd Located In The Amazing Agincourt Neighborhood. Exclusive Use Of Rear Fenced Patio Back Onto Ravine. Steps To Agincourt Mall, Close To..."
3748,2800 Warden Ave 504,550000,2,2,,L'Amoreaux,Warden Ave,"* Spotless & Clean * South Exposure * Bright & Warm * Totally Renovated * Smooth Ceiling Thru-Out * Engineered Hardwood Floors * Premium S/S  Fridge, High Quality Smooth Top Stove & Range Hood * Granite Countertops & Backsplash * Touch Free Kitchen Faucet * Silent..."
3749,215 Queen Street West St 805,900000,3,2,Queen Street West St,,,"Amazing City Views & Lots Of Natural Light, A Lovely Layout, Wood Flooring Throughout, Closet Space . Functional Smart Design W/Kitchen Counter & Dinette Table. Steps To Osgoode Subway Station, Eaton Centre, 24/7 Queen St Ttc Streetcar. Access To Huge Balcony From..."
3750,36 Forest Manor Dr 111,619500,1+1,2,,Henry Farm,Forest Manor Dr,"Assignment Sale. Amazing West Clear View! 10 Ft Ceiling! Floor To Ceiling Windows! 1 Bed & Flex W/Sliding Door (Could Easily Be Used As A 2nd Bedroom) & 2 Full Washrooms. Located Near Don Mills & Sheppard. Short Walk To Subway, Fairview Mall, Cineplex, Dvp, 401 Hwy..."
3751,31 Parliament St 3506,720900,1,1,,Waterfront Communities C8,Parliament St,"No.31 Condominiums In The Distillery District. This Impressive Building Was Designed By New York's Award Winning Architects-Aquitectonica Whose Inspiration Was Drawn From The Industrial, Warehouse Vernacular Of The Vibrant Area.Most Suites Have Balconies Which Sit..."
3752,250 Queens Quay,25000,0,0,Queens Quay,,,"Exclusive Leased Parking Spot Available For Sale. Buyer Must Own Condo Unit In 250, 260, Or 270 Queens Quay West. Sales Taxes To Be Added"
3753,31 Parliament St 3508,673900,1,1,Toronto,Waterfront Communities C8,Parliament St,"No.31 Condominiums In The Distillery District. This Impressive Building Was Designed By New York's Award Winning Architects-Aquitectonica Whose Inspiration Was Drawn From The Industrial, Warehouse Vernacular Of The Vibrant Area.Most Suites Have Balconies Which Sit..."
3754,2130 Bayview Ave B35,62000,0,0,,Bridle Path-Sunnybrook-York Mills,Bayview Ave,Parking Spot Located At P2(Level B)For Sale. Buyer Must Own A Unit Within The Complex. Monthly Parking Maintenance Fee And Annual Taxes To Be Verified At The Purchase Point. Buyer Must Be A Unit Owner Within The Complex.
3755,618140 18 Grey Rd,1150000,2,2,Meaford,Rural Meaford,18 Grey Rd,"Former 125 Yr Old Woodford United Church, Now Meticulously Converted & Renovated W/ Passion & Attention To Detail. Historic & Stunning 3-Bdrm, 2 Bath Home Has A Bright, Open Concept Layout, Creating Wonderful Ambience & Atmosphere W/ Stunning Views & Access To Bruce..."
